time,value
0,6.0307
1,5.9935
2,5.3565
3,5.1257
4,3.6869
5,3.4045
6,1.1528
7,1.1914
8,-0.1003
9,-0.076486
10,-0.2602
11,-0.22628
12,-0.22211999999999998
13,-0.22211999999999998
14,-0.13899
15,-0.17615999999999998
16,-0.20027
17,-0.29193
18,-0.26577
19,-0.22794
20,-0.22221999999999997
21,-0.22218000000000002
22,-0.22209
23,-0.22216
24,-0.22211999999999998
25,-0.22211999999999998
26,1.0417
27,-0.03852
28,-0.015261000000000002
29,-0.29771
30,-0.23369
31,-0.22223
32,-0.22223
33,-0.2219
34,-0.22211999999999998
35,-0.22211999999999998
36,-0.22211999999999998
37,-0.22211999999999998
38,-0.2798
39,-0.18182
40,-0.26171
41,-0.28768
42,-0.22678
43,-0.22211
44,-0.22215
45,-0.22211999999999998
46,-0.22213000000000002
47,-0.22211999999999998
48,-0.22211999999999998
49,-0.22211999999999998
50,-0.22214
51,-0.19413
52,-0.28365999999999997
53,-0.2464
54,-0.22215
55,-0.22215
56,-0.22211999999999998
57,-0.22211999999999998
58,-0.22211999999999998
59,-0.22211999999999998
60,-0.22211999999999998
61,-0.22211999999999998
62,-0.22211999999999998
63,-0.28781
64,-0.25587
65,-0.22041
66,-0.22225
67,-0.22211999999999998
68,-0.22214
69,-0.22211999999999998
70,-0.22211999999999998
71,-0.22211999999999998
72,-0.22211999999999998
73,-0.22227
74,-0.22221999999999997
75,-0.22216
76,-0.22218000000000002
77,-0.22211999999999998
78,-0.22016
79,-0.22221999999999997
80,-0.22205999999999998
81,-0.22211999999999998
82,-0.19
83,-0.23359000000000002
84,-0.28053
85,-0.27404
86,-0.22232
87,-0.22213000000000002
88,-0.22211
89,-0.22211999999999998
90,-0.22213000000000002
91,-0.22211999999999998
92,-0.22211999999999998
93,-0.22211999999999998
94,-0.22211999999999998
95,-0.29115
96,-0.24824000000000002
97,-0.22225
98,-0.22211999999999998
99,-0.22211999999999998
100,-0.22211999999999998
101,-0.22211999999999998
102,-0.27071
103,-0.21979
104,-0.21930999999999998
105,-0.24389
106,-0.22141
107,-0.22225999999999999
108,-0.22211999999999998
109,-0.22211999999999998
110,-0.22211999999999998
111,-0.22211999999999998
112,-0.22071999999999997
113,-0.22227
114,-0.22227
115,-0.2221
116,-0.22211999999999998
117,-0.22211999999999998
118,-0.2221
119,-0.2222
120,-0.22209
121,-0.22211
122,-0.22211999999999998
123,-0.22213000000000002
124,-0.22211999999999998
125,-0.22211999999999998
126,-0.22211999999999998
127,-0.22211999999999998
128,-0.22211999999999998
129,-0.22211999999999998
130,-0.22211999999999998
131,-0.22211999999999998
132,-0.22211999999999998
133,-0.22211999999999998
134,-0.22211999999999998
135,-0.22211999999999998
136,-0.22211999999999998
137,-0.22219
138,0.5693699999999999
139,-0.030897000000000004
140,-0.22243000000000002
141,-0.22196
142,-0.27292
143,-0.22209
144,-0.22211999999999998
145,-0.22179000000000001
146,-0.22211999999999998
147,-0.22073
148,-0.22050999999999998
149,-0.24553000000000003
150,-0.22385
151,-0.22061
152,-0.21991
153,-0.21846999999999997
154,0.7669100000000001
155,-0.22203
156,-0.2221
157,-0.27271999999999996
158,-0.21973
159,-0.22211999999999998
160,-0.22098
161,-0.22211999999999998
162,-0.22211999999999998
163,-0.22211999999999998
164,-0.22211999999999998
165,-0.22211999999999998
