time,value
0,2.0617
1,4.4838
2,3.8939
3,3.7593
4,3.1362
5,2.9530000000000003
6,2.3014
7,1.7213
8,-0.71308
9,-0.86555
10,-0.7082
11,-0.7883600000000001
12,-0.7852399999999999
13,-0.82575
14,-0.7659
15,-0.78833
16,-0.70336
17,-0.61498
18,-0.32924000000000003
19,-0.11045
20,0.26799
21,0.37872
22,0.64804
23,0.56994
24,-0.36609
25,-0.7651399999999999
26,1.7903
27,1.5282
28,1.4543
29,0.7109800000000001
30,0.72109
31,0.69799
32,0.58709
33,0.17668
34,-0.28197
35,-0.64875
36,-0.54815
37,-0.82706
38,-0.46436000000000005
39,-0.7993100000000001
40,-0.8269700000000001
41,-0.60674
42,-0.3039
43,0.41218
44,0.11850999999999999
45,-0.70685
46,0.14271
47,-0.59877
48,-0.8629
49,-0.7208100000000001
50,0.55493
51,-0.7479899999999999
52,-0.6643899999999999
53,-0.34348
54,0.24079
55,-0.17253
56,-0.4851
57,-0.58448
58,-0.78815
59,-0.82144
60,-0.86336
61,-0.7391
62,0.12699000000000002
63,-0.6564
64,-0.42882
65,-0.17373
66,-0.031296
67,-0.040462
68,-0.22004
69,-0.41257
70,-0.62079
71,-0.65193
72,-0.68614
73,0.06782
74,0.067109
75,0.07862100000000001
76,0.088314
77,-0.80778
78,0.76058
79,0.43071000000000004
80,0.085235
81,-0.44103000000000003
82,-0.7773
83,-0.7904899999999999
84,-0.62862
85,-0.41241000000000005
86,0.36629
87,0.30796999999999997
88,0.51468
89,0.35475999999999996
90,0.12565
91,-0.69825
92,-0.71178
93,-0.5405300000000001
94,-0.62857
95,-0.75079
96,-0.25842
97,-0.17252
98,-0.8648899999999999
99,-0.79372
100,-0.81555
101,-0.78783
102,-0.43405
103,0.036376
104,-0.31987
105,-0.35612
106,0.11415
107,0.08161900000000001
108,0.037572
109,-0.7604
110,-0.8237200000000001
111,-0.83139
112,-0.0035884999999999997
113,0.17812999999999998
114,0.11590999999999999
115,-0.0025534000000000004
116,-0.91958
117,-0.9418
118,0.19922
119,0.24670999999999998
120,0.13625
121,-0.33432
122,-0.48432
123,-0.38173
124,-0.85636
125,-0.34296
126,-0.81294
127,-0.7708
128,-0.8285399999999999
129,-0.7905800000000001
130,-0.6209899999999999
131,-0.85145
132,-0.60563
133,-0.9572299999999999
134,-0.8968
135,-0.93661
136,-0.9309799999999999
137,-0.9028799999999999
138,0.8947299999999999
139,1.2615
140,0.59116
141,0.27575
142,0.67975
143,0.40749
144,-0.84249
145,0.2207
146,-0.8554700000000001
147,0.62146
148,0.6892699999999999
149,0.69125
150,0.7797
151,0.69498
152,0.80402
153,2.4102
154,2.5021
155,0.5930300000000001
156,0.50298
157,2.1771
158,1.8494
159,0.1595
160,1.3294
161,-0.2058
162,-0.43301000000000006
163,-0.67791
164,-0.42763999999999996
165,-0.48772
