d3mIndex,timeseries_file,label
0,0000_train_ts.csv,1
1,0001_train_ts.csv,3
2,0002_train_ts.csv,1
3,0003_train_ts.csv,3
4,0004_train_ts.csv,2
5,0005_train_ts.csv,1
6,0006_train_ts.csv,1
7,0007_train_ts.csv,1
8,0008_train_ts.csv,3
9,0009_train_ts.csv,3
10,0010_train_ts.csv,1
11,0011_train_ts.csv,3
12,0012_train_ts.csv,2
13,0013_train_ts.csv,3
14,0014_train_ts.csv,1
15,0015_train_ts.csv,1
16,0016_train_ts.csv,3
17,0017_train_ts.csv,3
18,0018_train_ts.csv,3
19,0019_train_ts.csv,3
20,0020_train_ts.csv,2
21,0021_train_ts.csv,3
22,0022_train_ts.csv,3
23,0023_train_ts.csv,2
24,0024_train_ts.csv,2
25,0025_train_ts.csv,1
26,0026_train_ts.csv,3
27,0027_train_ts.csv,3
28,0028_train_ts.csv,2
29,0029_train_ts.csv,3
30,0030_train_ts.csv,3
31,0031_train_ts.csv,1
32,0032_train_ts.csv,1
33,0033_train_ts.csv,3
34,0034_train_ts.csv,1
35,0035_train_ts.csv,3
36,0036_train_ts.csv,1
37,0037_train_ts.csv,3
38,0038_train_ts.csv,1
39,0039_train_ts.csv,3
40,0040_train_ts.csv,3
41,0041_train_ts.csv,3
42,0042_train_ts.csv,2
43,0043_train_ts.csv,2
44,0044_train_ts.csv,1
45,0045_train_ts.csv,3
46,0046_train_ts.csv,2
47,0047_train_ts.csv,2
48,0048_train_ts.csv,3
49,0049_train_ts.csv,3
50,0050_train_ts.csv,3
51,0051_train_ts.csv,2
52,0052_train_ts.csv,3
53,0053_train_ts.csv,3
54,0054_train_ts.csv,2
55,0055_train_ts.csv,2
56,0056_train_ts.csv,3
57,0057_train_ts.csv,2
58,0058_train_ts.csv,3
59,0059_train_ts.csv,3
60,0060_train_ts.csv,3
61,0061_train_ts.csv,1
62,0062_train_ts.csv,3
63,0063_train_ts.csv,3
64,0064_train_ts.csv,3
65,0065_train_ts.csv,1
66,0066_train_ts.csv,3
67,0067_train_ts.csv,3
68,0068_train_ts.csv,3
69,0069_train_ts.csv,3
70,0070_train_ts.csv,2
71,0071_train_ts.csv,3
72,0072_train_ts.csv,1
73,0073_train_ts.csv,2
74,0074_train_ts.csv,1
75,0075_train_ts.csv,2
76,0076_train_ts.csv,3
77,0077_train_ts.csv,3
78,0078_train_ts.csv,3
79,0079_train_ts.csv,3
80,0080_train_ts.csv,1
81,0081_train_ts.csv,1
82,0082_train_ts.csv,3
83,0083_train_ts.csv,3
84,0084_train_ts.csv,3
85,0085_train_ts.csv,3
86,0086_train_ts.csv,3
87,0087_train_ts.csv,3
88,0088_train_ts.csv,2
89,0089_train_ts.csv,3
90,0090_train_ts.csv,3
91,0091_train_ts.csv,3
92,0092_train_ts.csv,1
93,0093_train_ts.csv,3
94,0094_train_ts.csv,1
95,0095_train_ts.csv,1
96,0096_train_ts.csv,3
97,0097_train_ts.csv,3
98,0098_train_ts.csv,1
99,0099_train_ts.csv,3
100,0100_train_ts.csv,3
101,0101_train_ts.csv,1
102,0102_train_ts.csv,1
103,0103_train_ts.csv,1
104,0104_train_ts.csv,3
105,0105_train_ts.csv,3
106,0106_train_ts.csv,3
107,0107_train_ts.csv,2
108,0108_train_ts.csv,3
109,0109_train_ts.csv,3
110,0110_train_ts.csv,2
111,0111_train_ts.csv,1
112,0112_train_ts.csv,2
113,0113_train_ts.csv,3
114,0114_train_ts.csv,3
115,0115_train_ts.csv,3
116,0116_train_ts.csv,2
117,0117_train_ts.csv,1
118,0118_train_ts.csv,2
119,0119_train_ts.csv,1
120,0120_train_ts.csv,3
121,0121_train_ts.csv,1
122,0122_train_ts.csv,1
123,0123_train_ts.csv,3
124,0124_train_ts.csv,2
125,0125_train_ts.csv,3
126,0126_train_ts.csv,3
127,0127_train_ts.csv,2
128,0128_train_ts.csv,3
129,0129_train_ts.csv,1
130,0130_train_ts.csv,3
131,0131_train_ts.csv,3
