time,value
0,1.464
1,4.3923
2,3.9149
3,3.7305
4,3.1107
5,2.9171
6,2.2813
7,1.6347
8,-0.94389
9,-0.9727600000000001
10,-0.9854299999999999
11,-0.97216
12,-1.04
13,-1.0579
14,-0.72753
15,-0.53951
16,-0.30453
17,-0.19637000000000002
18,0.0058211999999999995
19,0.34945
20,0.55847
21,0.54357
22,0.48081999999999997
23,0.17386
24,-0.58914
25,-0.87328
26,1.7812
27,1.6134
28,1.5274
29,0.86567
30,0.8642799999999999
31,0.70063
32,0.54524
33,0.2796
34,-0.017779
35,-0.32044
36,-0.88923
37,-1.0707
38,-0.089982
39,-0.55525
40,-0.48308999999999996
41,-0.19817
42,0.018274000000000002
43,-0.24026
44,-0.25853000000000004
45,-0.67945
46,-0.053116
47,-0.8383299999999999
48,-1.0013
49,-0.86046
50,0.88926
51,-0.42954
52,-0.3022
53,0.031527
54,-0.040382999999999995
55,-0.12605
56,-0.45758000000000004
57,-0.38190999999999997
58,-0.56638
59,-0.6725399999999999
60,-0.88884
61,-0.63898
62,-0.060808
63,-0.27537
64,-0.14743
65,0.16942000000000002
66,0.06369
67,-0.003653
68,-0.15238
69,-0.22339
70,-0.43166000000000004
71,-0.4228
72,-0.9695600000000001
73,0.31954
74,0.16809000000000002
75,0.095359
76,0.12952
77,-0.80261
78,0.8033
79,0.39983
80,0.13093
81,-0.1788
82,-0.42582
83,-0.35124
84,-0.30072
85,-0.16143
86,0.46573000000000003
87,0.38516
88,0.34862
89,0.16765
90,-0.067554
91,-0.80065
92,-0.92638
93,-0.76772
94,-1.0079
95,-0.28563
96,0.077055
97,-0.15802
98,-1.1014
99,-1.0021
100,-0.98736
101,-1.0302
102,-0.18597
103,0.19
104,0.72312
105,0.043809
106,0.21505
107,0.059015
108,-0.2461
109,-1.0178
110,-1.0327
111,-1.0272
112,0.22432
113,0.15458
114,0.16005
115,0.27976
116,-1.0526
117,-1.0657
118,0.25336
119,-0.07180800000000001
120,0.16694
121,-0.052400999999999996
122,-0.44626000000000005
123,0.11489
124,-0.6056600000000001
125,-0.44842
126,-0.80934
127,-0.70801
128,-0.26986
129,-1.0102
130,-0.7998
131,-1.1253
132,-0.91811
133,-1.1641
134,-1.1053
135,-1.0929
136,-1.1409
137,-1.1129
138,0.17467
139,1.2899
140,0.5384
141,0.21821
142,0.78477
143,0.40842
144,-1.0634
145,0.059099
146,-1.0105
147,0.71301
148,0.53275
149,0.64464
150,0.7539600000000001
151,0.54825
152,0.65475
153,2.1401
154,2.4808
155,0.3426
156,0.24655
157,2.1895
158,1.5630000000000002
159,0.10486
160,1.1135
161,-0.36017
162,-0.7008800000000001
163,-0.9285100000000001
164,-0.76126
165,-0.8446799999999999
