time,value
0,3.522
1,3.3751
2,3.0051
3,2.8975
4,2.531
5,2.4718
6,2.2254
7,2.1189
8,1.7239
9,1.5535
10,1.3366
11,0.71824
12,0.21819000000000002
13,0.14726
14,1.6509
15,1.5038
16,1.2416
17,1.1131
18,0.6158600000000001
19,0.2857
20,0.035207
21,-0.22915
22,-0.40687
23,-0.80767
24,-0.87731
25,-0.7301300000000001
26,2.0182
27,1.6263
28,1.4851
29,0.9131799999999999
30,0.52712
31,0.06478300000000001
32,-0.28543
33,-0.56798
34,-0.71431
35,-0.75097
36,-0.84401
37,-0.90084
38,0.8695
39,1.4643
40,0.79006
41,0.8511799999999999
42,-0.33871
43,-0.79798
44,-0.66173
45,-0.8233299999999999
46,-0.7277899999999999
47,-0.77286
48,-0.87808
49,-0.78562
50,-0.0021046
51,1.3051
52,0.96278
53,0.49527
54,-0.37456
55,-0.6853600000000001
56,-0.8776299999999999
57,-0.81828
58,-0.82201
59,-0.80076
60,-0.8599100000000001
61,-0.75127
62,-0.524
63,1.0841
64,0.66373
65,0.25951
66,-0.23443000000000003
67,-0.57872
68,-0.70581
69,-0.8036800000000001
70,-0.8795299999999999
71,-0.8065
72,-0.8937200000000001
73,-0.092439
74,-0.26206
75,-0.35412
76,-0.51863
77,-0.77862
78,0.40376999999999996
79,-0.31364000000000003
80,-0.5997100000000001
81,-0.7923100000000001
82,1.3429
83,1.2247
84,0.7943899999999999
85,0.78972
86,0.13875
87,-0.26178
88,-0.45346000000000003
89,-0.5846399999999999
90,-0.81691
91,-0.8004600000000001
92,-0.85762
93,-0.8722799999999999
94,-0.8193299999999999
95,1.1081
96,0.67342
97,-0.13782
98,-0.88495
99,-0.80824
100,-0.83891
101,-0.83911
102,0.9006
103,0.59019
104,0.5787100000000001
105,0.70123
106,0.4765
107,-0.00055291
108,-0.9480200000000001
109,-0.91306
110,-0.8592
111,-0.9263899999999999
112,-0.18757000000000001
113,0.22059
114,0.028255000000000002
115,-0.36286
116,-0.93975
117,-0.9607
118,-0.7561100000000001
119,-0.44354
120,-0.14117000000000002
121,-0.5639
122,-0.9362
123,-0.68958
124,-0.89051
125,-0.95104
126,-0.92376
127,-0.9140799999999999
128,-0.92179
129,-0.97372
130,-0.9696899999999999
131,-0.28274
132,-0.9108799999999999
133,-0.9814700000000001
134,-0.92305
135,-0.61035
136,-0.32792
137,0.22359
138,1.1178
139,1.1957
140,-0.027101
141,-0.6254
142,0.5312100000000001
143,-0.41621
144,-0.851
145,-0.66613
146,-0.8419399999999999
147,0.074518
148,-0.5321
149,0.13687
150,0.26679
151,-0.5219
152,-0.40926999999999997
153,0.057214
154,1.9131
155,-0.41034
156,-0.45392
157,1.2373
158,-0.051907
159,-0.16847
160,-0.19025999999999998
161,-0.41755
162,-0.54548
163,-0.86525
164,-0.5584399999999999
165,-0.62846
